weight (lbs),height (ft),division,age,competitorid
175.576145604,5.4526896,Men (60+),60.7,10
189.729822836,4.806372,Men (35-39),36.3,10
186.898413755,5.557766333,Men,28.229166667,144
137.899144997,5.347704000,Women (45-49),46.1,10
136.245678030,5.4887784,Women (50-54),50.4,10
129.036562057,5.3280192,Women (60+),60.7,10
142.286344014,5.4362856,Women (40-44),41.1,10
188.208633227,5.724996,Men (50-54),51.4,10
136.818879912,5.4264432,Women (55-59),56.2,10
194.205206759,5.65938,Men (40-44),40.8,10
137.392081794,5.3378616,Women (35-39),36.3,10
177.383936154,5.5872024,Men (45-49),46.2,10
181.881366303,5.803370667,Men (55-59),55.777777778,9
142.028184388,5.281086229,Women,28.839694656,131
