,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.322699596204944,-0.18082420421746828
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.1879591875809723,-0.3658307847333919
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,0.08920751303025198,0.029666832910118374
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,0.08873087233722217,-0.09896830477552811
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.33492253079385575,-0.6458806180260089
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.2770603251042565,0.06160529003875492
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.6748833050848306,-0.3740060209481113
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.11922441582358531,0.638700819540312
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,-0.33084860581186776,0.4262561149216756
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.37713393356046665,-0.6551746495160642
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.0365965480052897,-0.11983403388714153
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.6758221893800296,0.11649241300713678
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.772871099548439,0.33580523388743144
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.8598532528934661,0.18850443993880672
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.45979899157000403,-0.6831227550911024
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.994499401569973,0.01874930401340827
